image_name,x,y,z
image1.jpg,44.986546,-45.36062,87.94164
image2.jpg,-39.55836,-72.677795,-22.38558
image3.jpg,6.681116,-1.2270381,-111.75891
image4.jpg,112.69541,-55.96899,-8.486183
image5.jpg,-97.086136,53.720135,50.31792
image6.jpg,97.38278,39.698605,76.27062
image7.jpg,-25.635544,-80.7709,16.085215
image8.jpg,40.279816,0.2756793,-61.951828
image9.jpg,-102.417046,-227.3297,133.2118
image10.jpg,11.01087,33.369373,-66.49011
image11.jpg,3.9560206,142.5611,-2.1835444
image12.jpg,-43.38447,107.64171,-22.556892
image13.jpg,98.55563,31.670181,35.0715
image14.jpg,-85.36611,-33.202477,70.186455
image15.jpg,-5.266107,22.896706,105.8688
image16.jpg,21.090033,12.349688,118.23454
image17.jpg,-12.815062,6.7411823,139.46072
image18.jpg,89.151535,63.565487,-31.019108
image19.jpg,-83.90361,35.25609,-57.137096
image20.jpg,-88.212555,101.51685,37.67041
image21.jpg,-63.660946,51.79505,-21.095348
image22.jpg,-2.9639077,75.87639,-13.417578
image23.jpg,84.24011,-56.624393,45.683094
image24.jpg,-20.371855,40.521503,-34.652294
image25.jpg,52.168156,30.126898,29.580938
image26.jpg,89.151535,63.565487,-31.019108
image27.jpg,-14.05872,-38.06312,-19.66805
image28.jpg,-8.684589,-28.213217,24.010178
image29.jpg,-79.39759,-6.2072973,-24.744577
image30.jpg,17.28566,-76.45876,-13.548268
image31.jpg,-29.662716,-48.22217,-67.557755
image32.jpg,3.9543366,-52.335712,68.09604
image33.jpg,17.210032,-45.408463,-72.81541
image34.jpg,68.80175,-93.59907,-39.182026
image35.jpg,-22.757364,-3.2212608,64.70266
image36.jpg,-122.40643,3.1864116,0.0707459
image37.jpg,29.313131,-98.02575,69.668655
image38.jpg,139.85785,31.532999,3.5745442
image39.jpg,74.646225,-105.316414,203.60077
image40.jpg,-80.66681,-47.411186,-96.0416
image41.jpg,-121.35282,-46.902626,-50.847492
image42.jpg,74.88164,9.178319,82.313934
image43.jpg,-38.82548,114.02973,26.120058
image44.jpg,-1.4683834,89.416855,32.46884
image45.jpg,67.53527,51.369183,-88.04799
image46.jpg,-48.301765,-115.22859,55.17875
image47.jpg,44.640965,104.2704,-14.405549
image48.jpg,20.137419,55.158405,-118.39964
image49.jpg,31.22459,77.73457,29.464735
image50.jpg,-48.468433,2.9334033,-80.41884
image51.jpg,34.67185,-51.341038,32.76724
image52.jpg,24.32268,-4.000566,57.462063
image53.jpg,-37.62114,-3.3425393,-29.159143
image54.jpg,82.714775,84.27886,29.793322
image55.jpg,27.361149,48.72989,-23.272923
image56.jpg,-89.651566,99.02565,-23.340841
image57.jpg,-45.23215,-33.888462,75.767166
image58.jpg,-50.518105,27.27785,48.912174
image59.jpg,-66.582275,9.768839,17.678846
image60.jpg,-49.58263,95.86065,-74.32799
image61.jpg,-53.99465,-122.268936,-32.98475
image62.jpg,-59.12157,-66.879555,112.536674
image63.jpg,-32.41047,54.135323,-75.52248
image64.jpg,72.413345,-70.44251,-94.16686
image65.jpg,47.85395,66.149925,86.55408
image66.jpg,112.421326,1.0985315,-71.79754
image67.jpg,-107.686325,6.869328,-95.92558
image68.jpg,-24.866093,-40.8628,-124.63165
image69.jpg,-18.79782,22.617111,11.849273
image70.jpg,-95.605705,-86.5522,-1.3043748
image71.jpg,-44.290035,31.014013,-126.45749
image72.jpg,63.98407,-40.390522,-3.218868
image73.jpg,70.066154,-38.521072,-50.009243
image74.jpg,0.012508287,-138.61958,-10.373874
image75.jpg,17.408237,-106.31226,32.93294
image76.jpg,55.154484,-111.76216,22.608387
image77.jpg,-50.476143,65.333534,19.32895
image78.jpg,-75.270645,-68.00935,49.46179
image79.jpg,-105.70477,6.5641627,52.994156
image80.jpg,1.1806402,109.030205,79.336
image81.jpg,4.1491036,46.32389,54.43019
image82.jpg,23.296925,6.5659456,9.249791
image83.jpg,54.610016,13.940582,-19.059595
image84.jpg,-40.784286,-96.72233,-89.69586
image85.jpg,60.265804,-15.45936,-99.672676
image86.jpg,1.8388296,-5.6947274,-43.41529
image87.jpg,-0.73155123,76.06282,124.0379
image88.jpg,-96.48371,-40.592697,7.1953883
image89.jpg,-75.34252,22.401701,101.44007
image90.jpg,1.279784,-50.265724,124.25526
image91.jpg,63.840603,-3.1174517,29.238884
image92.jpg,-49.26284,75.04817,85.51206
image93.jpg,12.773809,-103.00255,-60.172337
image94.jpg,-83.0274,-54.769135,-52.35771
image95.jpg,111.43174,-14.33826,52.055553
image96.jpg,-50.97092,-38.017548,14.538927
image97.jpg,92.816315,-7.2274556,-11.363304
image98.jpg,21.820242,-29.20701,-18.259296
image99.jpg,-108.79868,52.480953,-2.3820448
image100.jpg,12.495503,96.626,-65.54749